ra,dec,constellation
344.46530375,35.1682358,AND
344.34285124999997,53.1680298,AND
351.45289375000004,53.1870041,AND
351.4656825,50.6870193,AND
355.27055708333336,50.6929131,AND
355.27607875,48.6929169,AND
4.1463675,48.6949348,AND
4.1432787499999995,46.6949348,AND
14.776077083333332,46.6757545,AND
14.7888675,48.6757393,AND
18.588407916666664,48.6632690,AND
18.605903750000003,50.6632347,AND
22.407936250000002,50.6478767,AND
26.968523749999996,50.6257439,AND
26.931439583333333,47.6258430,AND
32.62149125,47.5927505,AND
32.673801250000004,51.0925827,AND
39.885478750000004,51.0423737,AND
39.67934125,37.2931557,AND
31.871091250000003,37.3470840,AND
31.854250416666666,35.5971375,AND
22.910835,35.6453362,AND
22.89742625,33.6453705,AND
12.443063749999999,33.6818962,AND
12.41349125,24.4319324,AND
14.424064583333333,24.4266243,AND
14.414815416666666,21.6766376,AND
3.73992125,21.6951923,AND
3.7406445833333333,22.6951923,AND
2.61001625,22.6957588,AND
2.6128425,28.6957588,AND
1.6062162500000001,28.6960354,AND
1.6069770833333334,32.0293655,AND
357.82874125000006,32.0285034,AND
357.8280825,32.7785072,AND
354.0491579166667,32.7746468,AND
354.04417958333335,35.1913109,AND
141.904335,-24.5425186,ANT
141.77159875,-37.2920151,ANT
141.73406125,-40.2918739,ANT
166.45650458333333,-40.4246216,ANT
166.47936291666667,-35.6746559,ANT
163.95851541666664,-35.6664963,ANT
163.977885,-31.8332005,ANT
160.20137874999998,-31.8185863,ANT
160.21289375,-29.8186131,ANT
155.18132708333334,-29.7947845,ANT
155.1993375,-27.1281624,ANT
147.65928291666665,-27.0835037,ANT
147.67968125000002,-24.5835705,ANT
209.11110875,-83.1200714,APS
276.86599791666663,-82.4582748,APS
274.19506041666665,-74.9745178,APS
273.2800770833333,-67.4800797,APS
265.77572875,-67.5711060,APS
258.2424825,-67.6610870,APS
258.47067875,-70.1597443,APS
224.16644125,-70.5115433,APS
207.46087041666667,-70.6244431,APS
207.78143375,-75.6235962,APS
309.59884625,0.4361772,AQR
309.57987749999995,2.4360874,AQR
314.08109708333336,2.4773185,AQR
321.58347125,2.5393796,AQR
323.5842704166667,2.5544112,AQR
323.57874875,3.3043909,AQR
326.58021875000003,3.3256676,AQR
326.58708624999997,2.3256910,AQR
331.58875500000005,2.3576119,AQR
331.58726708333336,2.6076074,AQR
342.84221708333337,2.6622071,AQR
342.8497125,0.6622211,AQR
342.86470375,-3.3377509,AQR
359.10221125,-3.3042023,AQR
359.10329875,-6.3042021,AQR
359.11056458333337,-24.8042011,AQR
346.68096625000004,-24.8250446,AQR
329.77028875,-24.9040413,AQR
329.6561625,-8.4043999,AQR
321.668415,-8.4602947,AQR
321.71645125000003,-14.4601107,AQR
309.74390124999996,-14.5631361,AQR
309.6846479166666,-8.5634165,AQR
280.35020875000004,0.1154895,AQL
280.3262325,2.1153460,AQL
284.5764254166666,2.1659052,AQL
284.525985,6.4156075,AQL
281.45856875,6.3791943,AQL
281.388045,12.1287737,AQL
284.45626208333334,12.1651964,AQL
284.37363625,18.6647091,AQL
286.37549375000003,18.6882229,AQL
286.40547749999996,16.3550682,AQL
298.9211654166667,16.4957294,AQL
298.926,16.0790844,AQL
303.55899750000003,16.1275158,AQL
303.636675,8.8779116,AQL
306.01395625,8.9018240,AQL
306.07910125,2.4021468,AQL
309.57987749999995,2.4360874,AQL
309.59884625,0.4361772,AQL
309.6846479166666,-8.5634165,AQL
301.69369625,-8.6430750,AQL
301.72636958333334,-11.6762342,AQL
284.74405375,-11.8664360,AQL
284.6472929166667,-3.8336766,AQL
280.3981875,-3.8842230,AQL
249.03468125,-60.2644577,ARA
248.57062375,-45.7670517,ARA
269.80928375,-45.5163460,ARA
272.3090175,-45.4859734,ARA
272.67225291666665,-56.9837723,ARA
265.16818958333334,-57.0747757,ARA
265.77572875,-67.5711060,ARA
258.2424825,-67.6610870,ARA
255.72498291666668,-67.6905823,ARA
255.5423925,-65.1916428,ARA
254.2835145833333,-65.2062531,ARA
254.1951375,-63.7900925,ARA
251.67632125,-63.8189964,ARA
251.53784708333333,-61.2364578,ARA
249.08163,-61.2641945,ARA
31.665247500000003,10.5143948,ARI
26.65573375,10.5432396,ARI
26.74467458333333,25.6263351,ARI
30.51371125,25.6050701,ARI
30.530616249999998,27.8550186,ARI
38.07014875,27.8047638,ARI
38.103193749999996,31.2213154,ARI
42.62838,31.1865025,ARI
52.426667916666666,31.1003609,ARI
52.290622500000005,19.4343338,ARI
51.03723458333333,19.4461136,ARI
50.94641125,10.3632069,ARI
69.48693750000001,30.9218750,AUR
69.57384125,36.2547150,AUR
72.45734374999999,36.2218513,AUR
72.840285,52.7196465,AUR
77.48476208333334,52.6655540,AUR
77.60676458333333,56.1648331,AUR
94.13108874999999,55.9658089,AUR
94.05736625,53.9662552,AUR
100.04603125,53.8938293,AUR
99.91945958333335,49.8945885,AUR
104.40635875,49.8410034,AUR
104.26530291666667,44.3418388,AUR
112.73412458333333,44.2435493,AUR
112.56071875,35.2445297,AUR
100.09027625,35.3905640,AUR
99.96565791666667,27.8913116,AUR
90.22107125000001,28.0092907,AUR
90.22890291666667,28.5092430,AUR
73.21247541666668,28.7124405,AUR
73.23534291666668,30.2123089,AUR
69.47678875,30.2552605,AUR
227.78148625,7.5253930,BOO
204.06384875,7.3605771,BOO
204.02893041666667,14.3604937,BOO
203.95387208333335,27.8603134,BOO
210.7888275,27.8976517,BOO
210.77085875,30.1475964,BOO
211.88893375,30.1545391,BOO
211.69873208333334,47.9039383,BOO
211.58439124999998,54.9035759,BOO
217.25124874999997,54.9422379,BOO
229.59105458333335,55.0448647,BOO
229.65737375,52.5451736,BOO
237.08447375,52.6174774,BOO
237.1245854166667,51.1176796,BOO
237.36542708333334,39.6189079,BOO
232.64365208333334,39.5721130,BOO
232.74697791666668,32.5726128,BOO
229.01591875,32.5376778,BOO
229.09951625000002,25.5380573,BOO
227.60549125,25.5246105,BOO
65.0764125,-39.7007294,CAE
64.88238625,-48.6996651,CAE
68.36224791666666,-48.7384491,CAE
68.42409625,-46.2387962,CAE
73.40208291666666,-46.2959023,CAE
73.48237041666665,-42.7963676,CAE
75.97444374999999,-42.8255501,CAE
76.2549375,-27.0772038,CAE
73.75929625,-27.0479794,CAE
71.76333125,-27.0248775,CAE
71.72241875,-29.7746429,CAE
69.97665125,-29.7546597,CAE
69.86237541666667,-36.7540054,CAE
65.12985,-36.7010231,CAE
94.13108874999999,55.9658089,CAM
77.60676458333333,56.1648331,CAM
77.48476208333334,52.6655540,CAM
72.840285,52.7196465,CAM
52.313086250000005,52.9366074,CAM
52.38190041666667,55.4362831,CAM
49.85402249999999,55.4596519,CAM
49.913496249999994,57.4593849,CAM
48.90093,57.4684982,CAM
49.3954575,68.4662857,CAM
54.23703458333333,68.4214401,CAM
55.30874875000001,77.4163132,CAM
56.726209583333336,77.4025955,CAM
57.53049,80.3986664,CAM
80.48889458333332,80.1478500,CAM
84.53611791666665,85.1239471,CAM
127.953615,84.6103745,CAM
130.40275041666666,86.0975418,CAM
213.0229575,85.9308090,CAM
216.78285624999998,79.4449844,CAM
203.80918958333334,79.3629303,CAM
204.15701875,76.3638153,CAM
195.8206125,76.3289108,CAM
174.43479625,76.3084106,CAM
174.53158375,79.3083420,CAM
162.81859791666668,79.3401794,CAM
163.10541625000002,81.3396072,CAM
142.19119500000002,81.4677658,CAM
140.61547375,72.9741364,CAM
123.08622875,73.1383743,CAM
122.12910124999999,59.6433983,CAM
107.7531975,59.8037262,CAM
107.8515525,61.8031464,CAM
94.40745625,61.9641266,CAM
140.40425875,6.4700689,CNC
122.92139125,6.6302376,CNC
120.54834291666666,6.6549850,CNC
120.58067249999999,9.6548138,CNC
118.83248875,9.6734257,CNC
118.87160541666668,13.1732168,CNC
118.94754458333334,19.6728077,CNC
120.07012375000001,19.6608200,CNC
120.17164625,27.6602821,CNC
121.91596958333335,27.6419144,CNC
121.99323125000001,33.1415138,CNC
140.64598500000002,32.9691162,CNC
181.59450625,33.3039627,CVN
181.59141624999998,44.3039627,CVN
182.82643374999998,44.3043365,CVN
182.8185225,52.3043365,CVN
203.74239874999998,52.3598061,CVN
